ID,Match #,Batting_Runs,Batting_Mins,Balls Faced,4s,6s,SR,Batting_Pos,Batting_Dismissal,Batting_Inns,Overs,Mdns,Bowling_Runs,Wkts,Bowling_Econ,Bowling_Pos,Bowling_Inns,Catch Taken,Inns,Opposition,Ground,Start Date,
1,Test # 1127,15,28,24,2,0,62.5,6,bowled,2,1,0,10,0,10,7,1,0,1,Test v Pakistan,Karachi,15-Nov-89,15
2,Test # 1127,-1,-,-,-,-,-,-,-,4,4,0,15,0,3.75,6,3,0,3,Test v Pakistan,Karachi,15-Nov-89,-1
3,Test # 1128,59,254,172,4,0,34.3,6,lbw,1,-1,-,-,-,-,-,2,1,2,Test v Pakistan,Faisalabad,23-Nov-89,59
4,Test # 1128,8,24,16,1,0,50,6,run out,3,-1,-,-,-,-,-,4,0,4,Test v Pakistan,Faisalabad,23-Nov-89,8
5,Test # 1130,41,124,90,5,0,45.55,7,bowled,1,-1,-,-,-,-,-,2,0,2,Test v Pakistan,Lahore,01-Dec-89,41
6,Test # 1130,-1,-,-,-,-,-,-,-,3,-1,-,-,-,-,-,,0,4,Test v Pakistan,Lahore,01-Dec-89,-1
7,Test # 1132,35,74,51,5,0,68.62,6,lbw,1,-1,-,-,-,-,-,2,0,2,Test v Pakistan,Sialkot,09-Dec-89,35
8,Test # 1132,57,193,134,6,0,42.53,6,caught,3,-1,-,-,-,-,-,4,0,4,Test v Pakistan,Sialkot,09-Dec-89,57
9,ODI # 593,0,-,2,0,0,0,5,caught,2,-1,-,-,-,-,-,1,0,1,ODI v Pakistan,Gujranwala,18-Dec-89,0
10,Test # 1136,0,1,1,0,0,0,6,caught,2,-1,-,-,-,-,-,1,0,1,Test v New Zealand,Christchurch,02-Feb-90,0
11,Test # 1136,24,50,44,3,0,54.54,6,caught,3,-1,-,-,-,-,-,4,0,4,Test v New Zealand,Christchurch,02-Feb-90,24
12,Test # 1138,88,324,266,5,0,33.08,6,caught,1,-1,-,-,-,-,-,2,0,2,Test v New Zealand,Napier,09-Feb-90,88
13,Test # 1138,-1,-,-,-,-,-,-,-,3,-1,-,-,-,-,-,4,0,4,Test v New Zealand,Napier,09-Feb-90,-1
14,Test # 1139,5,15,13,1,0,38.46,6,caught,2,-1,-,-,-,-,-,1,1,1,Test v New Zealand,Auckland,22-Feb-90,5
15,Test # 1139,-1,-,-,-,-,-,-,-,4,-1,-,-,-,-,-,3,0,3,Test v New Zealand,Auckland,22-Feb-90,-1
16,ODI # 612,0,2,2,0,0,0,5,caught,2,-1,-,-,-,-,-,1,0,1,ODI v New Zealand,Dunedin,01-Mar-90,0
17,ODI # 616,36,51,39,5,0,92.3,6,caught,1,-1,-,-,-,-,-,2,0,2,ODI v New Zealand,Wellington,06-Mar-90,36
